iter	RMSE
0	0.1729178688
1	0.1716550697
2	0.1705843122
3	0.1696667713
4	0.1688902144
5	0.1682013812
6	0.1676181077
7	0.1670490254
8	0.1665836739
9	0.166087028
10	0.165674473
11	0.1653056262
12	0.1650102247
13	0.1647085899
14	0.1644606662
15	0.1642230978
16	0.164012568
17	0.1638343088
18	0.1636655171
19	0.1635293353
20	0.1633826177
21	0.1632499404
22	0.1631179002
23	0.1630216502
24	0.1629218302
25	0.1628148726
26	0.1627382336
27	0.1626744923
28	0.1625849289
29	0.1624776915
30	0.1624268684
31	0.1623884435
32	0.1623002691
33	0.1622631009
34	0.1622163922
35	0.162179543
36	0.1621443047
37	0.1620885769
38	0.1620461358
39	0.162019771
40	0.1619936021
41	0.1619715343
42	0.1619443897
43	0.1619194003
44	0.1618982679
45	0.1618811818
46	0.1618573769
47	0.1618376731
48	0.1618198901
49	0.1617811432
50	0.1617675755
51	0.1617431106
52	0.16173005
53	0.1617151518
54	0.1616893944
55	0.1616794134
56	0.1616647456
57	0.1616383998
58	0.1616323323
59	0.1616079633
60	0.1615975809
61	0.1615897449
62	0.1615694903
63	0.1615642946
64	0.1615524448
65	0.1615413897
66	0.1615283472
67	0.1615208644
68	0.1615064129
69	0.1614884191
70	0.1614804538
71	0.1614761555
72	0.1614609851
73	0.1614547267
74	0.1614496978
75	0.1614436086
76	0.1614352973
77	0.1614233719
78	0.161417293
79	0.161413866
80	0.1613908591
81	0.1613856418
82	0.1613818925
83	0.1613799322
84	0.1613701224
85	0.1613672246
86	0.1613578475
87	0.1613516488
88	0.1613481848
89	0.1613399566
90	0.1613358763
91	0.1613320975
92	0.1613249419
93	0.1613133687
94	0.1613108066
95	0.1613085467
96	0.1613046362
97	0.161300779
98	0.1612847393
99	0.1612782742
100	0.1612747511
101	0.161265866
102	0.1612607405
103	0.1612514627
104	0.1612498841
105	0.1612471534
106	0.1612385954
107	0.1612329911
108	0.1612305853
109	0.16122671
110	0.1612228295
111	0.1612197894
112	0.1612126583
113	0.1612113219
114	0.1612073066
115	0.1612062343
116	0.1612049081
117	0.1612023722
118	0.1612001342
119	0.1611990284
120	0.1611950466
121	0.161191885
122	0.1611863105
123	0.1611853908
124	0.1611817442
125	0.1611790874
126	0.1611763033
127	0.1611746036
128	0.1611688051
129	0.1611645909
130	0.1611640306
131	0.1611568744
132	0.1611541161
133	0.1611516696
134	0.1611467144
135	0.1611441551
136	0.1611424337
137	0.1611380712
138	0.1611303736
139	0.1611280991
140	0.1611253219
141	0.1611196741
142	0.1611148154
143	0.161111115
144	0.1611077881
145	0.1611030386
146	0.1610973712
147	0.161092567
148	0.1610879571
149	0.1610865541
150	0.1610852458
151	0.1610791742
152	0.1610741272
153	0.1610720256
154	0.1610679701
155	0.1610639658
156	0.1610588907
157	0.1610556612
158	0.1610535076
159	0.1610479875
160	0.1610443127
161	0.1610425821
162	0.1610369016
163	0.1610359313
164	0.1610274335
165	0.1610254993
166	0.1610200318
167	0.1610156811
168	0.1610119133
169	0.1610055903
170	0.1610023953
171	0.1609974466
172	0.1609933198
173	0.1609867225
174	0.1609817588
175	0.160977808
176	0.1609733349
177	0.1609657266
178	0.1609586791
179	0.1609559808
180	0.1609536133
181	0.16094955
182	0.160946667
183	0.1609435699
184	0.1609400197
185	0.1609377385
186	0.160933358
187	0.1609295531
188	0.1609269459
189	0.1609219926
190	0.1609184383
191	0.1609158204
192	0.1609128317
193	0.1609091665
194	0.1609038412
195	0.160900986
196	0.160894781
197	0.1608911569
198	0.160887654
199	0.1608853344
200	0.160880654
201	0.1608761449
202	0.1608743375
203	0.1608710722
204	0.1608692535
205	0.16086244
206	0.1608594955
207	0.1608559957
208	0.1608537805
209	0.1608522868
210	0.1608502763
211	0.1608487722
212	0.1608451236
213	0.1608437359
214	0.1608409885
215	0.1608381959
216	0.1608347204
217	0.1608323345
218	0.1608290078
219	0.1608262658
220	0.160821428
221	0.160819722
222	0.1608150917
223	0.1608124405
224	0.1608089357
225	0.1608064147
226	0.160803473
227	0.1608015433
228	0.1607958801
229	0.1607930476
230	0.1607913671
231	0.1607888202
232	0.1607833126
233	0.1607812077
234	0.1607795418
235	0.1607755922
236	0.1607733094
237	0.1607712926
238	0.1607688531
239	0.1607667825
240	0.1607646739
241	0.1607626216
242	0.1607601831
243	0.1607574169
244	0.1607558649
245	0.1607534835
246	0.160751116
247	0.160748944
248	0.1607472479
249	0.1607452698
250	0.1607414495
251	0.1607396939
252	0.1607378344
253	0.1607355507
254	0.1607331297
255	0.160732024
256	0.1607304073
257	0.1607289357
258	0.1607271544
259	0.1607257218
260	0.1607240969
261	0.1607219509
262	0.1607196962
263	0.160717289
264	0.1607157634
265	0.1607142845
266	0.1607125156
267	0.160711932
268	0.1607086546
269	0.160706557
270	0.1607052621
271	0.1607019305
272	0.1607009557
273	0.160696262
274	0.1606945844
275	0.160692897
276	0.1606906539
277	0.1606882617
278	0.1606864826
279	0.1606828775
280	0.1606814074
281	0.1606805854
282	0.1606799406
283	0.160677079
284	0.1606751793
285	0.1606729617
286	0.160671048
287	0.1606694494
288	0.1606678151
289	0.160666862
290	0.1606652978
291	0.1606620662
292	0.1606600364
293	0.1606577611
294	0.160656233
295	0.1606546224
