iter	Passed	Remaining
0	10	4210
1	23	4631
2	33	4369
3	42	4245
4	53	4227
5	63	4146
6	72	4046
7	82	4057
8	94	4084
9	103	4028
10	112	3982
11	122	3953
12	131	3926
13	141	3907
14	152	3925
15	162	3890
16	171	3852
17	180	3839
18	191	3843
19	201	3826
20	210	3806
21	220	3790
22	232	3806
23	242	3794
24	251	3776
25	265	3818
26	275	3807
27	286	3804
28	297	3803
29	310	3834
30	321	3821
31	330	3802
32	343	3815
33	353	3802
34	363	3789
35	373	3775
36	383	3760
37	395	3765
38	406	3760
39	415	3739
40	425	3724
41	437	3729
42	449	3735
43	464	3755
44	475	3749
45	485	3737
46	499	3753
47	511	3749
48	522	3740
49	535	3751
50	546	3737
51	559	3741
52	568	3723
53	577	3699
54	588	3693
55	599	3679
56	609	3666
57	621	3666
58	631	3649
59	644	3653
60	654	3634
61	664	3622
62	673	3603
63	683	3587
64	693	3572
65	703	3558
66	713	3548
67	722	3528
68	736	3530
69	749	3534
70	761	3526
71	771	3512
72	783	3511
73	793	3497
74	803	3481
75	812	3464
76	822	3450
77	835	3450
78	846	3439
79	857	3431
80	867	3416
81	876	3399
82	885	3381
83	893	3362
84	904	3352
85	915	3341
86	926	3334
87	936	3320
88	946	3305
89	955	3291
90	965	3277
91	974	3261
92	984	3250
93	995	3239
94	1004	3224
95	1016	3219
96	1027	3210
97	1038	3198
98	1052	3200
99	1064	3194
100	1075	3183
101	1085	3170
102	1098	3168
103	1113	3170
104	1124	3159
105	1135	3148
106	1148	3145
107	1160	3136
108	1170	3123
109	1180	3111
110	1191	3102
111	1201	3090
112	1216	3090
113	1230	3085
114	1242	3078
115	1252	3066
116	1263	3056
117	1275	3047
118	1285	3036
119	1295	3023
120	1305	3011
121	1315	2996
122	1325	2986
123	1334	2971
124	1344	2958
125	1354	2944
126	1363	2930
127	1372	2915
128	1385	2911
129	1396	2899
130	1404	2884
131	1416	2876
132	1426	2863
133	1435	2849
134	1445	2838
135	1456	2827
136	1465	2813
137	1476	2802
138	1485	2789
139	1494	2775
140	1507	2769
141	1519	2760
142	1529	2747
143	1539	2737
144	1548	2722
145	1558	2711
146	1571	2704
147	1585	2699
148	1598	2692
149	1609	2682
150	1620	2672
151	1634	2666
152	1649	2662
153	1660	2652
154	1672	2643
155	1687	2639
156	1701	2633
157	1713	2623
158	1723	2611
159	1737	2606
160	1749	2597
161	1762	2589
162	1777	2584
163	1788	2574
164	1803	2569
165	1813	2555
166	1824	2545
167	1835	2535
168	1847	2525
169	1861	2518
170	1871	2505
171	1883	2496
172	1894	2485
173	1904	2473
174	1915	2462
175	1924	2449
176	1938	2442
177	1948	2430
178	1961	2421
179	1973	2411
180	1984	2400
181	1999	2394
182	2011	2385
183	2024	2376
184	2038	2368
185	2048	2356
186	2061	2348
187	2071	2335
188	2082	2324
189	2092	2313
190	2105	2304
191	2114	2290
192	2124	2278
193	2138	2270
194	2148	2258
195	2157	2245
196	2167	2233
197	2177	2221
198	2187	2209
199	2196	2196
200	2207	2185
201	2217	2173
202	2228	2162
203	2238	2150
204	2247	2138
205	2261	2129
206	2271	2118
207	2282	2107
208	2294	2097
209	2305	2085
210	2314	2073
211	2324	2061
212	2335	2050
213	2348	2040
214	2359	2030
215	2369	2018
216	2381	2008
217	2391	1996
218	2400	1984
219	2411	1972
220	2424	1964
