code_candidature;nom_candidature;bloc_1;bloc_2;bloc_3
NC;Nuance non communiquee;;;
LDIV;Divers;centre;;
DIV;Divers;centre;;
LDVD;Divers droite;droite_modere;droite_dure
LDVG;Divers gauche;gauche_modere;
LUG;Union de la gauche;;gauche_modere
LUD;Union de la droite;droite_dure;droite_modere
LFN;Front national;extreme_droite;;
LEXG;Extreme gauche;extreme_gauche;;
LSOC;Parti socialiste;gauche_modere;
LUMP;Union pour un mouvement populaire;droite_modere;
LNC;Nouveau centre;centre;;
LFG;Front de gauche;gauche_dure;
LVEC;Europe Ecologie Les Verts;gauche_modere;;
LUDI;Union des democrates et independants;centre;droite_modere
LDVC;Divers centre;centre;;
LCOM;Parti communiste;gauche_dure;
LRN;Rassemblement national;extreme_droite;;
LUC;Union du centre;centre;;
LPG;Parti de gauche;gauche_dure;
LMDM;Mouvement democrate;centre;;
LLR;Les republicains;droite_modere;
LEXD;Extreme droite;extreme_droite;;
LREM;La republique en marche;centre;droite_modere
LFI;La France insoumise;gauche_dure;;
LECO;Ecologistes;gauche_modere;;
LREG;Regionalistes;centre;;
LGJ;Gilets jaunes;;
LRDG;Radicaux de gauche;gauche_modere;centre
LDLF;Debout la France;droite_dure;
RN;Rassemblement national;extreme_droite;;
LR;Les republicains;droite_modere;centre
EELV;Europe Ecologie Les Verts;gauche_modere;;
PS;Parti socialiste;gauche_modere;;
UDI;Union des democrates et independants;centre;droite_modere
PRG;Parti radical de gauche;gauche_modere;centre
DVD;Divers droite;droite_modere;droite_dure
DVG;Divers gauche;gauche_modere;
EXD;Extreme droite;extreme_droite;;
EXG;Extreme gauche;extreme_gauche;;
FN;Front national;extreme_droite;;
DLF;Debout la France;droite_dure;
REM;La republique en marche;centre;droite_modere
ENS;Ensemble;centre;droite_modere
LENS;Ensemble;centre;droite_modere
REC;Reconquete;extreme_droite;;
LREC;Reconquete;extreme_droite;;
DSV;Divers souverainiste;droite_dure;
LDSV;Divers souverainiste;droite_dure;
LUGE;Union de la gauche elargie;gauche_modere;
COM;Parti communiste;gauche_dure;
SOC;Parti socialiste;gauche_modere;;
FI;La France insoumise;gauche_dure;;
ECO;Ecologistes;gauche_modere;;
DXG;Divers extreme gauche;extreme_gauche;;
NUP;Nupes;gauche_dure;gauche_modere
BC-COM;Binome communiste;gauche_dure;
BC-DVD;Binome divers droite;droite_modere;droite_dure
BC-ECO;Binome ecologiste;gauche_modere;;
BC-RN;Binome rassemblement national;extreme_droite;;
ANNE HIDALGO;Anne Hidalgo;gauche_modere;;
ARTHAUD;Nathalie Arthaud;extreme_gauche;;
ASSELINEAU;Francois Asselineau;droite_dure;;
BENOI T HAMON;Benoit Hamon;gauche_modere;;
BENOIT HAMON;Benoit Hamon;gauche_modere;;
CHEMINADE;Jacques Cheminade;gauche_dure;;
DUPONT AIGNAN;Nicolas Dupont Aignan;droite_dure;;
EMMANUEL MACRON;Emmanuel Macron;centre;;
ERIC ZEMMOUR;Eric Zemmour;extreme_droite;;
FABIEN ROUSSEL;Fabien Roussel;gauche_dure;;
FILLON;Francois Fillon;droite_modere;;
FRANCOIS ASSELINEAU;Francois Asselineau;droite_dure;;
FRANCOIS FILLON;Francois Fillon;droite_modere;;
FRANI OIS ASSELINEAU;Francois Asselineau;droite_dure;;
FRANI OIS FILLON;Francois Fillon;droite_modere;;
HAMON;Benoit Hamon;gauche_modere;;
HIDALGO;Anne Hidalgo;gauche_modere;;
JACQUES CHEMINADE;Jacques Cheminade;gauche_dure;;
JADOT;Yannick Jadot;gauche_modere;;
JEAN LASSALLE;Jean Lassalle;centre;;
JEAN LUC MELENCHON;Jean Luc Melenchon;gauche_dure;;
JEAN LUC MI LENCHON;Jean Luc Melenchon;gauche_dure;;
LASSALLE;Jean Lassalle;centre;;
LE PEN;Le Pen;extreme_droite;;
MACRON;Emmanuel Macron;centre;;
MARINE LE PEN;Marine Le Pen;extreme_droite;;
MELENCHON;Jean Luc Melenchon;gauche_dure;;
NATHALIE ARTHAUD;Nathalie Arthaud;extreme_gauche;;
NICOLAS DUPONT AIGNAN;Nicolas Dupont Aignan;droite_dure;;
PECRESSE;Valerie Pecresse;droite_modere;;
PHILIPPE POUTOU;Philippe Poutou;extreme_gauche;;
POUTOU;Philippe Poutou;extreme_gauche;;
ROUSSEL;Fabien Roussel;gauche_dure;;
VALERIE PECRESSE;Valerie Pecresse;droite_modere;;
YANNICK JADOT;Yannick Jadot;gauche_modere;;
ZEMMOUR;Eric Zemmour;extreme_droite;;
