iter	Passed	Remaining
0	131	78563
1	199	59757
2	264	52699
3	329	49032
4	375	44706
5	421	41768
6	466	39485
7	517	38302
8	569	37416
9	616	36361
10	664	35558
11	803	39357
12	1015	45873
13	1109	46435
14	1185	46228
15	1275	46559
16	1380	47351
17	1518	49086
18	1585	48472
19	1652	47914
20	1754	48381
21	1833	48180
22	1927	48365
23	2009	48229
24	2063	47449
25	2124	46900
26	2194	46578
27	2259	46148
28	2323	45756
29	2380	45226
30	2453	45039
31	2553	45331
32	2640	45361
33	2714	45183
34	2790	45049
35	2904	45503
36	2976	45297
37	3037	44927
38	3093	44497
39	3149	44098
40	3201	43652
41	3255	43247
42	3317	42977
43	3371	42598
44	3433	42345
45	3497	42121
46	3551	41781
47	3625	41694
48	3683	41416
49	3738	41124
50	3785	40744
51	3843	40504
52	3897	40221
53	3960	40043
54	4047	40111
55	4121	40036
56	4189	39906
57	4243	39653
58	4301	39446
59	4351	39166
60	4448	39303
61	4512	39158
62	4566	38920
63	4616	38659
64	4659	38354
65	4713	38134
66	4780	38028
67	4830	37790
68	4880	37559
69	4930	37332
70	4981	37118
71	5049	37031
72	5110	36890
73	5150	36607
74	5199	36397
75	5245	36166
76	5288	35917
77	5331	35680
78	5374	35445
79	5422	35249
80	5473	35069
81	5524	34898
82	5577	34738
83	5637	34632
84	5707	34582
85	5748	34358
86	5797	34183
87	5846	34014
88	5893	33837
89	5942	33674
90	5989	33501
91	6042	33367
92	6099	33252
93	6149	33101
94	6200	32960
95	6250	32814
96	6314	32746
97	6385	32711
98	6452	32652
99	6507	32539
100	6570	32460
101	6624	32345
102	6686	32265
103	6757	32228
104	6805	32085
105	6865	31997
106	6914	31858
107	6960	31708
108	7017	31609
109	7063	31462
110	7117	31356
111	7206	31398
112	7268	31324
113	7308	31157
114	7355	31021
115	7402	30884
116	7453	30767
117	7507	30664
118	7553	30532
119	7605	30422
120	7657	30311
121	7716	30232
122	7769	30131
123	7811	29984
124	7866	29892
125	7909	29752
126	7963	29659
127	8007	29529
128	8063	29442
129	8116	29345
130	8178	29278
131	8402	29791
132	8473	29752
133	8525	29647
134	8578	29549
135	8641	29484
136	8692	29376
137	8744	29273
138	8783	29132
139	8827	29005
140	8872	28882
141	8923	28781
142	8974	28679
143	9157	28997
144	9207	28892
145	9257	28787
146	9305	28676
147	9355	28572
148	9415	28500
149	9477	28431
150	9525	28325
151	9580	28236
152	9640	28164
153	9695	28080
154	9753	28003
155	9817	27942
156	9863	27831
157	9920	27753
158	9977	27673
159	10034	27593
160	10099	27539
161	10150	27445
162	10198	27342
163	10244	27235
164	10291	27132
165	10344	27044
166	10392	26946
167	10432	26826
168	10479	26724
169	10532	26641
170	10574	26529
171	10623	26434
172	10671	26339
173	10724	26256
174	10761	26134
175	10805	26032
176	10847	25922
177	10887	25811
178	10937	25724
179	10985	25631
180	11025	25523
181	11070	25426
182	11118	25334
183	11159	25229
184	11209	25145
185	11251	25044
186	11299	24955
187	11346	24864
188	11398	24786
189	11449	24707
190	11494	24613
191	11534	24510
192	11584	24429
193	11632	24344
194	11678	24255
195	11722	24161
196	11769	24076
197	11821	24001
198	11871	23922
199	11917	23834
200	11970	23762
201	12018	23680
202	12088	23641
203	12166	23617
204	12212	23530
205	12254	23438
206	12299	23351
207	12349	23273
208	12401	23201
209	12444	23110
210	12492	23031
211	12552	22973
212	12609	22910
213	12659	22833
214	12708	22756
215	12757	22679
216	12807	22604
217	12853	22523
218	12898	22440
219	12947	22364
220	12992	22280
221	13033	22192
222	13081	22115
223	13129	22038
224	13176	21960
225	13219	21876
226	13262	21792
227	13314	21723
228	13354	21636
229	13397	21551
230	13445	21477
231	13489	21397
232	13529	21311
233	13576	21234
234	13620	21155
235	13662	21072
236	13711	21000
237	13753	20919
238	13794	20836
239	13841	20762
240	13891	20692
241	13937	20617
242	13994	20559
243	14034	20475
244	14076	20395
245	14114	20310
246	14158	20234
247	14201	20157
248	14241	20075
249	14288	20003
250	14343	19944
251	14386	19866
252	14429	19791
253	14475	19718
254	14517	19641
255	14560	19565
256	14607	19495
257	14649	19418
258	14690	19341
259	14730	19262
260	14773	19188
261	14814	19112
262	14853	19032
263	14892	18954
264	14934	18879
265	14975	18803
266	15020	18732
267	15068	18666
268	15154	18647
269	15202	18581
270	15252	18517
271	15297	18447
272	15349	18386
273	15394	18315
274	15435	18241
275	15480	18172
276	15528	18107
277	15568	18032
278	15611	17961
279	15653	17890
280	15703	17827
281	15750	17761
282	15800	17698
283	15844	17629
284	15897	17570
285	15938	17499
286	15984	17433
287	16028	17363
288	16071	17294
289	16109	17220
290	16162	17162
291	16199	17087
292	16241	17017
293	16281	16945
294	16325	16878
295	16367	16810
296	16407	16738
297	16450	16671
298	16492	16602
299	16535	16535
300	16577	16467
301	16625	16405
302	16673	16343
303	16711	16271
304	16758	16208
305	16801	16142
306	16848	16079
307	16892	16014
308	16934	15948
309	16975	15879
310	17016	15812
311	17062	15750
312	17116	15694
313	17161	15631
314	17216	15576
315	17276	15526
316	17337	15477
317	17397	15427
318	17466	15385
319	17521	15330
320	17571	15272
321	17615	15208
322	17660	15145
323	17711	15087
324	17755	15023
325	17831	14987
